23/10/2023 20:06:38 - 0000:	 - train_loss: 0.996037:	 - test_loss: 0.998260:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:06:49 - 0001:	 - train_loss: 0.995755:	 - test_loss: 0.998253:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:06:59 - 0002:	 - train_loss: 0.988643:	 - test_loss: 0.998254:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:07:10 - 0003:	 - train_loss: 0.977168:	 - test_loss: 0.998274:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:07:20 - 0004:	 - train_loss: 0.994917:	 - test_loss: 0.998255:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:07:31 - 0005:	 - train_loss: 0.996491:	 - test_loss: 0.998259:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:07:41 - 0006:	 - train_loss: 0.995997:	 - test_loss: 0.998256:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:07:52 - 0007:	 - train_loss: 0.995806:	 - test_loss: 0.998256:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:08:02 - 0008:	 - train_loss: 0.995778:	 - test_loss: 0.998254:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:08:13 - 0009:	 - train_loss: 0.995577:	 - test_loss: 0.998254:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:08:23 - 0010:	 - train_loss: 0.995346:	 - test_loss: 0.998253:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:08:34 - 0011:	 - train_loss: 0.995250:	 - test_loss: 0.998253:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:08:44 - 0012:	 - train_loss: 0.995861:	 - test_loss: 0.998253:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
